Price,Brand,Model,Color,Rating,ROM,RAM,Display (inch),Battery (mAh),Camera (MP),Processor,Voice Call,Display
37999,Samsung,Samsung Galaxy S24,Graphite,4.1,,,,,,,,
18999,Samsung,Samsung Galaxy A35,Awesome Navy,5,,,,,,,,
19999,realme,realme 15x 5G,Marine Blue,5,128,6,,,,,,
17999,realme,realme P4 5G,Engine Blue,4.5,,,6.75,,,,,
5999,Ai+,Ai+ Pulse,Green,4.2,,,,,,,,
7499,Moto,Moto g06 power,Tapestry,4.2,,,,6300,,,,
6799,POCO,POCO C71,Cool Blue,4.4,,,,,,,,
32999,POCO,POCO F7 5G,Frost White,4.2,,,,,,,,
11499,realme,realme P3 Lite,Lily White,4.3,128,4,,,,,,
11499,realme,realme P3 Lite,Midnight Lily,4.5,,,6.7,,,,,
7923,REDMI,REDMI A4 5G,Sparkle Purple,4.1,,,,,,,,
26999,Nothing,Nothing Phone,a,4.4,,,,5000,,,,
809,Jio,Jio JioBharat V4,nan,4.3,,,,,,,,
10499,realme,realme P3 Lite,Purple Blossom,4.3,,,,,,,,
889,Kechaoda,Kechaoda A27,nan,4.2,128,6,,,,,,
22999,vivo,vivo T4 5G,Phantom Grey,4.4,,,6.8,,,,,
19999,MOTOROLA,MOTOROLA G96 5G,Greener Pastures,4.3,,,,,,,,
992,LAVA,LAVA A5 2023,nan,4.4,,,,7000,,,,2023
884,Kechaoda,Kechaoda A26_Pink,nan,4.5,,,,,,,,
17999,MOTOROLA,MOTOROLA G86 Power,Cosmic Sky,4.3,,,,,,,,
1319,LAVA,LAVA A3 Torch,nan,4.4,128,6,,,,,,
29999,MOTOROLA,MOTOROLA Edge 60,Pantone Shadow,4.3,,,6.88,,,,,60
24999,Nothing,Nothing Phone,a,4.5,,,,,,,,
24999,Nothing,Nothing Phone,a,4.2,,,,5200,,,,
24999,Nothing,Nothing Phone,a,4.4,,,,,,,,
10499,realme,realme P3 Lite,Lily White,4.4,,,,,,,,
69900,Apple,Apple iPhone 16,Ultramarine,4.4,64,4,,,,,,16
21999,POCO,POCO X7 Pro,Yellow,4.3,,,6.745,,,,,
15999,Infinix,Infinix Note 50s,Titanium Grey,5,,,,,,,,
8048,realme,realme Narzo 80,Obsidian Black,1,,,,5000,,,,80
79900,Apple,Apple iPhone 16,White,4.2,,,,,,,,16
1299,LAVA,LAVA A2 Smart,nan,5,,,,,,,,
31990,OnePlus,OnePlus Nord 5�5G,Marble Sands,4,64,4,,,,,,5
8299,POCO,POCO C75 5G,Silver Stardust,4.2,,,6.745,,,,,
996,LAVA,LAVA A1 Josh,nan,5,,,,,,,,
889,Kechaoda,Kechaoda A27,nan,5,,,,5000,,,,
6932,realme,realme Narzo 80,Obsidian Black,4.2,,,,,,,,80
873,Kechaoda,Kechaoda A27,nan,4,,,,,,,,
26999,Nothing,Nothing Phone,a,5,256,8,,,,,,
13999,POCO,POCO M7 Pro,Olive Twilight,4.2,,,6.67,,,,,
17999,OPPO,OPPO K13 5G,Prism Black,4,,,,,,,,
17999,OPPO,OPPO K13 5G,Icy Purple,1,,,,5500,,,,
24999,vivo,vivo T4 5G,Emerald Blaze,4.5,,,,,,,,
9999,MOTOROLA,MOTOROLA g35 5G,Guava Red,4.2,,,,,,,,
7999,vivo,vivo Y19e,Majestic Green,4.5,,,,,,,,
20999,Motorola,Motorola Edge 50,Hot Pink,4.2,128,4,,,,,,50
11499,realme,realme P3 Lite,Purple Blossom,4.2,,,6.88,,,,,
7789,realme,realme Narzo 80,Beach Gold,4,,,,,,,,80
17999,realme,realme 15x 5G,Maroon Red,4.2,,,,5160,,,,
16999,realme,realme 15x 5G,Marine Blue,4.3,,,,,,,,
16999,realme,realme 15x 5G,Aqua Blue,4.5,64,4,,,,,,
26999,Nothing,Nothing Phone,a,4.4,,,6.74,,,,,
14999,realme,realme 14x 5G,Crystal Black,4.4,,,,,,,,
480,G'Five,G'Five U106,nan,4.2,,,,6300,,,,
27035,Samsung,Samsung Galaxy A55,Awesome Iceblue,4.4,,,,,,,,
1327,Nokia,Nokia 105 Single,nan,4.4,128,6,,,,,,105
34613,OnePlus,OnePlus Nord 5,Phantom Grey,4.3,,,6.74,,,,,5
19999,MOTOROLA,MOTOROLA G96 5G,Dresden Blue,4.3,,,,,,,,
5999,Ai+,Ai+ Pulse,Pink,4.4,,,,6000,,,,
7490,realme,realme C71,Obsidian Black,4.4,,,,,,,,
