Price,Brand,Model,Color,Rating,ROM,RAM,Display (inch),Battery (mAh),Camera (MP),Processor,Voice Call,Display
89990,ASUS,ASUS Gaming V16,,3.9,,,,,,,,
64990,ASUS,ASUS Expertbook P3,,4,,,,,,,,
58999,HP,HP G8 Series,,4.1,,,15.6,,,,,
39990,ASUS,ASUS Expertbook P1,,4.1,,,,,,,,
44990,Acer,Acer Aspire 15,,4.1,,,,,,,,15
87990,Samsung,Samsung Galaxy Book5,,4.2,,,,,,(13th Gen),,7
42790,Acer,Acer Aspire 3,,4,,,,,,,,3
79990,ASUS,ASUS Expertbook P3,,4,,,,,,,,
48990,ASUS,"ASUS Vivobook 15,",,4,,,,,,,,15
54990,DELL,DELL Inspiron 15,,4.1,,,,,,,,15
51000,HP,HP,,5,,,,,,,,
19990,CHUWI,CHUWI Intel Core,Grey Laptop,1,,,,,,,,
78490,DELL,DELL 14 Plus,,4.3,,,,,,,,14
26491,Acer,Acer Aspire Lite,,5,,,,,,,,3
16990,Neopticon,Neopticon BrowseBook Intel,,5,,,,,,,,
41990,CHUWI,CHUWI Intel Core,Pro Laptop,4.1,,,,,,,,
37990,CHUWI,CHUWI Intel Core,,5,,,,,,,,
51990,DELL,DELL 15 Intel,RPL Laptop,4,,,,,,(13th Gen),,15
55990,Lenovo,Lenovo IdeaPad Slim,,4,,,,,,,,3
45990,ASUS,"ASUS Vivobook 15,",,5,,,,,,,,15
37990,HP,HP 15s Intel,,5,,,,,,,,
60990,Lenovo,Lenovo IdeaPad Slim,,4.1,,,,,,,,3
39900,HP,HP AMD Ryzen,Light Laptop,4.4,,,,,,,,5
30990,ASUS,"ASUS Vivobook 15,",,4,,,,,,,,15
56990,ASUS,ASUS Vivobook 14,,4.2,,,,,,,,14
42990,ASUS,"ASUS Vivobook 15,",,4.2,,,,,,,,15
29490,HP,HP 15,,4,,,,,,,,15
50990,ASUS,ASUS Vivobook 15,,4.1,,,,,,,,15
95990,HP,HP Omen AMD,,4.4,,,,,,,,7
36990,HP,HP 250R G9,,4.2,,,,,,,,4.5
39990,ASUS,ASUS Expertbook P1,,3.8,,,,,,,,
48990,ASUS,ASUS Vivobook 15,,4.5,,,,,,,,15
29990,Lenovo,Lenovo V15 AMD,,4.4,,,,,,,,3
25790,HP,HP 15 G10,,4.1,,,,,,,,15
36950,HP,HP AMD Ryzen,Light Laptop,4.4,,,,,,,,5
19990,CHUWI,CHUWI Intel Core,Grey Laptop,4.2,,,,,,(13th Gen),,
78490,DELL,DELL 14 Plus,,3.9,,,,,,,,14
77990,Samsung,Samsung Galaxy Book5,,4.3,,,,,,,,5
69900,HP,HP Victus Intel,,4.2,,,,,,,,
34950,HP,HP 250R G9,U,4.5,,,,,,,,
83990,ASUS,ASUS TUF Gaming,,4,,,,,,,,7
41990,CHUWI,CHUWI Intel Core,Pro Laptop,4.2,,,,,,,,
37990,CHUWI,CHUWI Intel Core,,4,,,,,,,,
79990,Lenovo,Lenovo LOQ Intel,,4.1,,,,,,,,
47490,Lenovo,Lenovo V14 Intel,,4.3,,,,,,,,
65990,ASUS,ASUS Vivobook 16X,Basic,4.1,,,,,,,,
57990,HP,HP Victus AI,,5,,,,,,,,31
20990,Infinix,Infinix Y1 Plus,,1,,2,,,,Intel Core i3-1005G1 (Base 1.20 GHz & Turbo upto 3.40 GHz) 2 Cores,,
26990,HP,HP 247 G8,Notebook,4.4,,,,,,(10th Gen),,247
30990,ASUS,ASUS Vivobook Go,,5,,,,,,,,15
87490,Lenovo,Lenovo LOQ Intel,,4,,,,,,,,
51990,MOTOROLA,MOTOROLA Motobook 60,,4,,,,,,,,60
35299,DELL,DELL 15 Intel,Light Laptop,5,,,,,,,,15
56990,ASUS,ASUS Vivobook 14,,2,,,,,,,,14
35990,ASUS,"ASUS Vivobook 15,",,4,,,,,,,,15
34990,ASUS,ASUS Vivobook 14,,5,,,,,,,,14
56990,HP,HP Professional Intel,,5,,,,,,,,
37990,Acer,Acer Aspire AMD,Laptop,3.8,,,,,,,,5
43999,Lenovo,Lenovo V15 AMD,Business Laptop,4,,,,,,,,7
33560,Lenovo,Lenovo V 14,,3,,,,,,,,14
20990,Acer,Acer Chromebook Intel,,4.1,,,,,,,,
78490,DELL,DELL 14 Plus,,4.4,,,,,,,,14
19990,CHUWI,CHUWI Intel Core,Grey Laptop,4.2,,,,,,,,
30790,ASUS,ASUS Vivobook Go,,4.3,,,,,,,,15
35000,ASUS,ASUS VivoBook 14,,4.3,,,,,,,,14
41990,CHUWI,CHUWI Intel Core,Pro Laptop,4.3,,,,,,,,
37990,CHUWI,CHUWI Intel Core,,4.2,,,,,,,,
29490,HP,HP AMD Ryzen,Laptop,4,,,,,,,,5
34990,DELL,DELL Intel Core,Light Laptop,4.2,,,,,,(12th Gen),,
30990,ASUS,ASUS Vivobook Go,,3.9,,,,,,,,14
85990,HP,HP Victus Intel,,4,,,,,,,,
22990,CHUWI,CHUWI Intel Celeron,Pro Laptop,3.6,,,,,,,,
30990,ASUS,ASUS Vivobook Go,,3.9,,,15.6,,,,,15
51990,DELL,DELL 15 Intel,Light Laptop,4.3,,,,,,,,15
74990,ASUS,ASUS Expertbook P1,,4.3,,,,,,,,
43999,HP,HP AMD Ryzen,Light Laptop,4.2,,4,,,,"Cutting-edge Intel i3 12th Gen processor, LPDDR4 12GB RAM, 512GB SSD Storage",,5
46990,MSI,MSI Modern 14,,4.4,,,,,,,,14
30990,ASUS,ASUS Vivobook Go,,4,,,,,,,,14
29500,HP,HP 255 G10,,4.3,,,,,,,,255
73490,Lenovo,Lenovo IdeaPad Slim,,4.1,,,,,,,,5
73990,ASUS,ASUS TUF Gaming,,4.4,,,,,,,,
19990,CHUWI,CHUWI Intel Core,Grey Laptop,4.2,,,,,,,,
78490,DELL,DELL 14 Plus,,4.3,,,,,,,,14
144900,Apple,Apple MacBook Air,A,4.3,,,,,,(12th Gen),,
53990,ASUS,ASUS Intel Hexa,,4,,,,,,,,
41990,CHUWI,CHUWI Intel Core,Pro Laptop,5,,,,,,,,
37990,CHUWI,CHUWI Intel Core,,5,,,,,,,,
69990,HP,HP Victus Intel,,4.4,,,13.5,,,,,
130699,Apple,Apple MacBook Air,A,5,,,,,,,,
38490,ASUS,ASUS Vivobook 15,,4,,,,,,,,15
49491,DELL,DELL 15 Intel,Light Laptop,4.2,,,,,,,,15
50990,HP,HP MS Office,,4,,,,,,,,2024
42990,Acer,Acer Aspire 3,,4,,,,,,,,3
89990,ASUS,ASUS Gaming V16,,3.9,,,,,,,,
